N,P,K,temperature,humidity,ph,rainfall,label
21.6,59.5,14.2,31.6,38.25,5.8,166.3,pigeonpeas
108.8,47.2,31.8,16.75,64.06,6.19,58.64,wheat
90.5,87.8,36.1,30.23,79.7,5.83,84.56,banana
67.5,23.9,20.4,28.57,60.72,6.3,67.92,maize
87.6,23.1,44.9,30.03,85.92,6.19,50.67,watermelon
65.2,56.7,39.6,28.71,95.68,6.41,188.56,rice
24.1,18.3,28.3,27.54,99.61,6.31,162.45,coconut
48.4,86.2,15.5,28.98,67.9,6.45,67.92,blackgram
93.4,46.5,48.7,21.16,60.3,7.79,72.46,wheat
27.5,55.1,14.9,29.81,65.72,6.81,59.35,lentil
103.5,35.6,28.7,23.15,75.81,6.27,157.56,rice
81.5,38.6,54.1,26.37,81.0,6.08,211.47,rice
119.9,86.3,54.2,30.37,83.65,6.45,68.6,banana
32.6,58.3,54.4,34.6,90.86,6.71,170.31,papaya
20.9,45.9,11.7,29.25,33.32,6.61,34.11,mothbeans
26.0,51.4,19.4,20.54,82.25,7.09,53.37,mungbean
26.1,33.2,32.7,31.11,44.84,5.26,88.17,mango
91.2,21.2,47.8,25.67,88.2,7.09,62.15,watermelon
10.2,56.2,23.5,19.57,13.39,5.32,125.98,kidneybeans
116.2,82.5,55.1,25.26,89.0,6.52,98.54,banana
45.3,67.3,71.7,25.57,18.06,7.63,118.51,chickpea
14.6,19.5,46.0,14.69,87.43,6.9,92.4,pomegranate
30.8,128.6,178.8,22.14,98.12,5.79,113.17,apple
18.3,28.8,33.3,29.83,40.08,5.63,104.34,mango
18.5,69.8,26.5,34.76,52.78,5.08,154.24,pigeonpeas
55.5,46.6,53.8,32.58,86.0,6.42,156.91,papaya
70.6,48.0,53.8,20.83,79.43,7.08,221.62,rice
17.8,136.2,206.8,24.01,90.99,6.06,115.31,apple
26.4,17.9,33.2,27.05,99.29,6.0,165.69,coconut
98.5,46.5,43.7,23.45,85.7,6.34,257.92,rice
47.6,82.6,61.9,18.42,15.38,7.98,73.9,chickpea
20.3,67.0,15.1,29.93,55.72,6.95,57.38,lentil
48.3,46.0,54.9,39.05,90.57,7.39,109.29,papaya
89.8,49.9,36.8,27.69,90.7,7.21,158.41,jute
